doc_id,source,title,text
GOV_DOC_001,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams,"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Central Bureau of Investigation (CBI). These criminals typically contact victims via direct phone and video contact, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_002,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics,"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Narcotics Control Bureau (NCB), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes direct phone and video contact to interrogate suspects, demand instant financial transfers via Real Time Gross Settlement (RTGS), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_003,Wikipedia Excerpt,Digital Arrest (Cybercrime),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged WhatsApp video communications where the victim is psychologically pressured by actors posing as personnel from Narcotics Control Bureau (NCB). The ultimate goal is financial extortion, usually demanding funds to be transferred via Real Time Gross Settlement (RTGS) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_004,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud,"The National Crime Records Bureau (NCRB) has documented a 71% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Pune and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Unified Payments Interface (UPI), are attributed to criminals posing as Enforcement Directorate (ED) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over direct phone and video contact mediums."
GOV_DOC_005,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts,"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Narcotics Control Bureau (NCB), are forcing individuals into virtual meeting platformss. They demand immediate deposits via Immediate Payment Service (IMPS) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Pune or anywhere else."
GOV_DOC_006,PIB Press Release,Ministry of Home Affairs Issues Advisory on 'Digital Arrest' Scams (Update 6),"The Ministry of Home Affairs (MHA) has issued a nationwide alert regarding a surge in cybercrimes termed as 'Digital Arrests'. Fraudsters are impersonating officials from law enforcement agencies, including the Enforcement Directorate (ED). These criminals typically contact victims via Skype video calls, falsely claiming that the victim's identity has been used in illegal activities such as money laundering or drug trafficking. The scammers use intimidating tactics, including forged arrest warrants and fake police station backgrounds, to coerce victims into compliance."
GOV_DOC_007,MHA Cybercrime Advisory,Citizen Advisory: Avoiding Video Call Intimidation Tactics (Update 7),"The Indian Cyber Crime Coordination Centre (I4C) under the MHA has noted an alarming trend. Citizens are receiving unsolicited video calls where imposters, dressed in uniforms resembling the Narcotics Control Bureau (NCB), claim the citizen is under 'digital arrest'. The MHA strongly reiterates that NO Indian law enforcement agency utilizes WhatsApp video communications to interrogate suspects, demand instant financial transfers via Unified Payments Interface (UPI), or place individuals under virtual confinement. Citizens are advised to immediately report such instances on the National Cyber Crime Reporting Portal (www.cybercrime.gov.in) or by dialing the helpline number 1930."
GOV_DOC_008,Wikipedia Excerpt,Digital Arrest (Cybercrime) (Update 8),"A 'Digital Arrest' refers to an extortion and cyber fraud modus operandi primarily observed in South Asia, notably India. In this scheme, perpetrators utilize social engineering to convince victims they are subjects of an active criminal investigation. A common technique involves a prolonged direct phone and video contact where the victim is psychologically pressured by actors posing as personnel from Narcotics Control Bureau (NCB). The ultimate goal is financial extortion, usually demanding funds to be transferred via Immediate Payment Service (IMPS) to fictitious 'secure accounts' managed by mule operators."
GOV_DOC_009,NCRB Report Summary,Annual Cybercrime Trends: Rise in Impersonation Fraud (Update 9),"The National Crime Records Bureau (NCRB) has documented a 81% year-on-year increase in sophisticated cyber-impersonation cases. The data highlights that financial hubs such as Lucknow and surrounding metropolitan areas are prime targets. A significant portion of the financial losses, often transferred through Unified Payments Interface (UPI), are attributed to criminals posing as Central Bureau of Investigation (CBI) officials. The NCRB emphasizes the need for extensive public awareness campaigns, particularly focusing on the illegality of conceptual 'digital arrests' executed over direct phone and video contact mediums."
GOV_DOC_010,PIB Press Release,RBI Clarification on 'Secret Audits' and Virtual Escrow Accounts (Update 10),"The Reserve Bank of India (RBI) categorically refutes claims made by fraudsters regarding 'secret audit accounts' or 'RBI clearance ledgers'. It has come to the central bank's notice that scammers, falsely identifying themselves as officers of the Customs Department, are forcing individuals into WhatsApp video communicationss. They demand immediate deposits via Unified Payments Interface (UPI) to clear their names from fabricated charges. The RBI clarifies that it NEVER contacts citizens directly demanding money or personal financial details under the guise of legal or regulatory audits in Ahmedabad or anywhere else."
