account_id,creation_date,account_type,bank_name,is_dormant,days_since_last_activity,is_mule
ACC006252,2021-12-09,personal,Bank of Baroda,True,148,False
ACC004684,2023-12-04,personal,Punjab National Bank,False,23,False
ACC001731,2022-10-22,personal,IDBI Bank,False,9,False
ACC004742,2023-04-13,personal,ICICI Bank,False,12,False
ACC004521,2020-11-09,personal,Yes Bank,False,6,False
ACC006340,2024-02-06,personal,Bank of India,False,26,False
ACC000576,2021-08-27,business,IndusInd Bank,False,30,False
ACC005202,2023-04-22,personal,Bank of India,False,30,False
ACC006363,2022-05-01,personal,Federal Bank,False,21,False
ACC000439,2020-07-12,personal,Punjab National Bank,False,15,False
ACC002750,2023-11-12,business,Punjab National Bank,False,24,False
ACC007487,2023-04-06,personal,Bank of Baroda,False,10,False
ACC005272,2022-09-25,personal,ICICI Bank,False,12,False
ACC005653,2023-10-06,personal,Punjab National Bank,False,4,False
ACC003999,2020-10-15,personal,Yes Bank,False,20,False
ACC006033,2021-12-12,business,Axis Bank,False,19,False
ACC000582,2022-06-17,personal,ICICI Bank,False,11,False
ACC009930,2022-07-21,personal,Bank of India,True,241,True
ACC007051,2023-01-18,business,State Bank of India,False,3,False
ACC008158,2019-10-28,personal,Bank of India,False,17,False
ACC009896,2024-12-04,personal,ICICI Bank,False,0,True
ACC002249,2023-10-02,personal,IDBI Bank,False,14,False
ACC004640,2021-08-26,personal,Punjab National Bank,False,16,False
ACC009485,2020-02-19,personal,HDFC Bank,False,0,False
ACC004947,2021-07-28,personal,ICICI Bank,False,19,False
ACC009920,2024-12-07,personal,IndusInd Bank,False,3,True
ACC001963,2021-09-13,personal,IndusInd Bank,False,13,False
ACC008243,2022-01-17,personal,ICICI Bank,True,186,False
ACC006590,2021-09-09,personal,Canara Bank,False,1,False
ACC008847,2023-12-09,personal,Bank of India,True,304,False
ACC000321,2023-04-11,personal,IndusInd Bank,False,28,False
ACC002678,2022-04-24,business,Axis Bank,False,11,False
ACC004625,2023-11-03,business,Union Bank of India,False,18,False
ACC004949,2019-12-15,personal,Union Bank of India,False,8,False
ACC008328,2024-06-01,personal,Federal Bank,False,16,False
ACC003337,2020-05-19,personal,State Bank of India,False,16,False
ACC005589,2021-05-20,business,Federal Bank,False,10,False
ACC000251,2023-04-12,business,ICICI Bank,False,14,False
ACC003973,2021-04-11,business,Yes Bank,False,23,False
ACC006630,2023-10-11,personal,Union Bank of India,False,11,False
ACC005547,2020-01-30,personal,Union Bank of India,False,25,False
ACC000035,2024-02-21,personal,Axis Bank,False,19,False
ACC008362,2023-10-20,personal,IDBI Bank,False,10,False
ACC001513,2023-09-19,personal,Canara Bank,False,0,False
ACC009317,2023-11-25,personal,Canara Bank,False,20,False
ACC000039,2021-12-06,personal,Punjab National Bank,False,27,False
ACC004819,2024-04-26,personal,Bank of Baroda,False,30,False
ACC003465,2021-03-19,business,Punjab National Bank,False,20,False
ACC001760,2020-10-03,personal,Axis Bank,False,21,False
ACC002304,2020-03-21,personal,Punjab National Bank,False,20,False
ACC003723,2022-04-02,business,Punjab National Bank,False,1,False
ACC008284,2021-03-17,personal,Punjab National Bank,False,29,False
ACC004993,2020-11-18,personal,State Bank of India,False,0,False
ACC008127,2021-08-28,personal,State Bank of India,False,23,False
