complaint_id,category,narrative,amount_lost,victim_city,modus_operandi_tags
RAG_CMP_0042,digital_arrest,"On April 24, 2024, I was at my residence in Ahmedabad when I received an unexpected phone call at around 08:42. The caller identified themselves as a senior investigating officer from the ED. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 39-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a Zoom call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 16 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure ED investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 2,610,126 via IMPS/NEFT. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",2610126,Ahmedabad,"digital_arrest, impersonation, ed, zoom_call, coercion"
RAG_CMP_0118,digital_arrest,"I am filing this formal complaint regarding a highly sophisticated cyber fraud that occurred on July 21, 2024. I am a 34-year-old resident of Delhi. I received an automated Interactive Voice Response (IVR) call claiming that a mobile number registered in my name was being used to send illegal threat messages and that my cellular services would be blocked in two hours. I pressed '9' to speak to an executive and was connected to a man claiming to represent ED. He transferred my call to what he described as the 'cyber crime investigation branch'. I was then manipulated into logging on to a Zoom call for formal questioning. The individuals on the screen were wearing uniforms and sitting behind heavy wooden desks with the ED logo prominently displayed in the background. They informed me that multiple bank accounts had been opened using my PAN card to fund illicit activities across international borders. They convinced me that I was a prime suspect and placed me under a so-called 'digital arrest'. They claimed that my local physical movements were currently being tracked and any attempt to log off would result in immediate physical detention by a local raid team. Under incredible mental distress and duress spanning 7 hours, they convinced me that the only way to avoid formal imprisonment was to deposit a 'security clearance bond'. Desperate to defend my reputation and believing their threats were completely legitimate, I gathered funds by liquidating my fixed deposits and transferred Rs. 3,118,343 using RTGS to the accounts they dictated. The scammers assured me the money was just held in an escrow account. I am left financially ruined and deeply traumatized by this impersonation scam.",3118343,Delhi,"digital_arrest, impersonation, ed, zoom_call, coercion"
RAG_CMP_0166,digital_arrest,"My nightmare began on the morning of July 11, 2024 in Lucknow. I received an urgent call from someone pretending to be a customs official at the international airport. They claimed that a parcel addressed to me contained illegal narcotics and multiple expired passports. When I denied any knowledge of the parcel, they stated the matter was being escalated to the CBI and forced me to immediately download an application to initiate a Skype call. I am 58 years old and not very tech-savvy, so I blindly followed their instructions out of fear of legal trouble. Upon joining the call, a person dressed as a senior CBI director interrogated me aggressively. They digitally projected a fake FIR document onto the screen, which had my exact residential address and identity details. They told me I could not leave the camera frame and declared me under 'digital arrest'. I was held hostage virtually for 40 straight hours. Whenever I requested to drink water or use the restroom, they threatened to send local constables to publicly arrest me in front of my neighbors. They convinced me to temporarily transfer Rs. 1,149,319 to an 'auditor verification ledger' via RTGS to prove that my funds were legally acquired and not linked to the intercepted parcel. Believing my life and career were on the line, I complied with all their demands. After the initial transfer, they demanded further payments, at which point I became suspicious and disconnected. I immediately checked with my bank, but the funds had already been moved.",1149319,Lucknow,"digital_arrest, impersonation, cbi, skype_call, coercion"
RAG_CMP_0132,digital_arrest,"I am filing this formal complaint regarding a highly sophisticated cyber fraud that occurred on March 05, 2024. I am a 29-year-old resident of Ahmedabad. I received an automated Interactive Voice Response (IVR) call claiming that a mobile number registered in my name was being used to send illegal threat messages and that my cellular services would be blocked in two hours. I pressed '9' to speak to an executive and was connected to a man claiming to represent CBI. He transferred my call to what he described as the 'cyber crime investigation branch'. I was then manipulated into logging on to a Skype call for formal questioning. The individuals on the screen were wearing uniforms and sitting behind heavy wooden desks with the CBI logo prominently displayed in the background. They informed me that multiple bank accounts had been opened using my PAN card to fund illicit activities across international borders. They convinced me that I was a prime suspect and placed me under a so-called 'digital arrest'. They claimed that my local physical movements were currently being tracked and any attempt to log off would result in immediate physical detention by a local raid team. Under incredible mental distress and duress spanning 6 hours, they convinced me that the only way to avoid formal imprisonment was to deposit a 'security clearance bond'. Desperate to defend my reputation and believing their threats were completely legitimate, I gathered funds by liquidating my fixed deposits and transferred Rs. 1,294,314 using RTGS to the accounts they dictated. The scammers assured me the money was just held in an escrow account. I am left financially ruined and deeply traumatized by this impersonation scam.",1294314,Ahmedabad,"digital_arrest, impersonation, cbi, skype_call, coercion"
RAG_CMP_0149,digital_arrest,"On July 26, 2024, I was at my residence in Chennai when I received an unexpected phone call at around 08:20. The caller identified themselves as a senior investigating officer from the RBI. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 61-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a Zoom call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 9 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure RBI investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 2,478,629 via crypto exchange transfer. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",2478629,Chennai,"digital_arrest, impersonation, rbi, zoom_call, coercion"
RAG_CMP_0355,fake_customer_care,"I was facing issues with my broadband connection in Delhi. I googled the customer care number and called the first result. The person on the other end asked me to install a remote access app called AnyDesk to fix the router settings. Within minutes of granting access, they opened my banking app and transferred Rs. 444,196 out of my account. I am 51 years old.",444196,Delhi,"fake_customer_care, financial_loss, cybercrime"
RAG_CMP_0142,digital_arrest,"My nightmare began on the morning of June 23, 2024 in Mumbai. I received an urgent call from someone pretending to be a customs official at the international airport. They claimed that a parcel addressed to me contained illegal narcotics and multiple expired passports. When I denied any knowledge of the parcel, they stated the matter was being escalated to the Police and forced me to immediately download an application to initiate a WhatsApp video call. I am 30 years old and not very tech-savvy, so I blindly followed their instructions out of fear of legal trouble. Upon joining the call, a person dressed as a senior Police director interrogated me aggressively. They digitally projected a fake FIR document onto the screen, which had my exact residential address and identity details. They told me I could not leave the camera frame and declared me under 'digital arrest'. I was held hostage virtually for 31 straight hours. Whenever I requested to drink water or use the restroom, they threatened to send local constables to publicly arrest me in front of my neighbors. They convinced me to temporarily transfer Rs. 3,571,810 to an 'auditor verification ledger' via crypto exchange transfer to prove that my funds were legally acquired and not linked to the intercepted parcel. Believing my life and career were on the line, I complied with all their demands. After the initial transfer, they demanded further payments, at which point I became suspicious and disconnected. I immediately checked with my bank, but the funds had already been moved.",3571810,Mumbai,"digital_arrest, impersonation, police, whatsapp_video_call, coercion"
RAG_CMP_0020,digital_arrest,"On February 06, 2024, I was at my residence in Delhi when I received an unexpected phone call at around 19:40. The caller identified themselves as a senior investigating officer from the CBI. The person sounded extremely authoritative and informed me that my Aadhaar card and PAN card details had been found implicated in a major money laundering and contraband smuggling case involving millions of rupees. I am a 46-year-old citizen with no criminal record, and I was completely terrified by this sudden allegation. They immediately escalated the situation by ordering me to isolate myself in an empty room and forcing me to join a WhatsApp video call. Once connected, I saw individuals dressed in official-looking uniforms sitting in a room that closely resembled a real police station, complete with national emblems and official insignia. They declared that I was under 'digital arrest' and strictly prohibited me from muting the microphone, turning off the camera, or contacting any family members or legal counsel. They displayed highly realistic forged documents bearing my name, photograph, and official government stamps, claiming an arrest warrant had already been authorized by the Supreme Court. I was kept under constant surveillance on this harrowing call for over 2 hours without any break. Exploiting my extreme fear, confusion, and panic, the impersonators instructed me to transfer all my personal savings to a 'secret secure CBI investigation account' to verify my innocence. They promised the entire amount would be reversed back to my account within 24 hours once my financial audit was clear. Out of sheer panic, I initiated multiple transactions totaling Rs. 1,897,317 via RTGS. It was only after the perpetrators abruptly disconnected the call the next evening that I contacted the actual local police station and realized I had been the victim of an elaborate and devastating psychological scam.",1897317,Delhi,"digital_arrest, impersonation, cbi, whatsapp_video_call, coercion"
RAG_CMP_0477,loan_app_fraud,"I downloaded a quick loan app from the Play Store to cover a medical emergency in Delhi. I applied for a 5,000 rupee loan but they only disbursed 3,000, claiming the rest was processing fees. A week later, they demanded Rs. 74,407 and threatened to send morphed obscene photos of me to all my contacts using the contact list permission I had originally granted. The harassment was unbearable.",74407,Delhi,"loan_app_fraud, financial_loss, cybercrime"
RAG_CMP_0341,fake_customer_care,"I was facing issues with my broadband connection in Delhi. I googled the customer care number and called the first result. The person on the other end asked me to install a remote access app called AnyDesk to fix the router settings. Within minutes of granting access, they opened my banking app and transferred Rs. 351,337 out of my account. I am 72 years old.",351337,Delhi,"fake_customer_care, financial_loss, cybercrime"
